Batter,REA,RES,PA,OPS,OBP,SLG,AVG,RBI,HR
schwf001,48.19042736069516,-60.162048783104225,292,.635,.277,.358,.229,36,8
heywj001,21.686720212753706,-32.7435500365643,151,.555,.278,.277,.204,10,1
vargi001,38.45012114768754,-40.92356328501433,222,.691,.299,.392,.263,23,4
suzus001,81.05612484429251,-82.01994806813842,446,.769,.336,.433,.262,46,14
gomey001,42.71029595376315,-62.54071896380669,293,.625,.260,.365,.235,31,8
greig001,0.666846738843217,-1.9440227701771726,8,.542,.375,.167,.167,0,0
hagej001,7.36452711004871,-11.519019014959243,59,.625,.345,.280,.240,3,0
bland001,1.4887223793868034,-1.1401236880005154,7,.572,.286,.286,.286,2,0
phile001,0.3654529425907621,0,1,1.000,1.000,.000,.000,0,0
pillk001,0.8517430443590062,-3.938671122963978,13,.321,.154,.167,.083,0,0
acunr001,114.49934516103741,-96.78697646479127,533,.764,.351,.413,.266,50,15
swand001,150.007303081391,-127.99961961347701,696,.776,.329,.447,.277,96,25
ozunm001,81.28794264814867,-111.18427525215556,507,.687,.274,.413,.226,56,23
rilea001,143.05953698514966,-128.52722053392773,693,.877,.349,.528,.273,93,38
olsom001,137.2767899134437,-134.05424984448723,699,.802,.325,.477,.240,103,34
darnt001,94.01814718316604,-79.86208713905734,426,.791,.319,.472,.268,60,18
albio001,51.32366949517268,-49.49741956742091,269,.703,.294,.409,.247,35,8
duvaa001,53.99969261099889,-59.37930991172313,315,.677,.276,.401,.213,36,12
harrm004,100.87619031354733,-82.64912686711115,441,.853,.339,.514,.297,64,19
contw002,72.90898626087595,-67.51868997023249,376,.860,.354,.506,.278,45,20
hereg002,12.866113970044218,-19.77728102499809,82,.562,.220,.342,.158,8,3
senzn001,65.95045144147034,-82.42194776922877,420,.602,.296,.306,.231,25,5
drurb001,126.38658903481601,-106.82103542198763,568,.812,.320,.492,.263,87,28
phamt001,109.0333828713223,-135.03047793393148,622,.686,.312,.374,.236,63,17
vottj001,65.04771048975483,-73.40870337345233,376,.689,.319,.370,.205,41,11
farmk001,106.26772662654089,-115.50872068468222,583,.701,.315,.386,.255,78,14
reynm003,49.37114537440997,-55.85654397326659,272,.652,.320,.332,.246,23,3
mousm001,44.916482272084565,-60.01588266351557,285,.640,.295,.345,.214,25,7
almoa002,41.879053839459985,-54.18273564971967,235,.631,.282,.349,.223,29,5
okeyc001,1.2078404132277012,-3.790328097869982,13,.398,.231,.167,.167,0,0
friet001,46.946391103438835,-48.108763308440075,258,.750,.314,.436,.240,25,8
indij001,77.66163604593176,-80.07552144638001,431,.705,.327,.378,.249,41,10
garca006,11.024190958091612,-29.213026346462694,115,.507,.248,.259,.213,4,1
larnt001,29.38984134756753,-31.338202714625332,180,.712,.306,.406,.231,18,5
kennb002,16.371854870901224,-16.771166233314887,94,.612,.287,.325,.217,12,1
kiria001,27.982340833704637,-27.05570434845665,156,.651,.290,.361,.250,21,3
jeffr002,37.827429031234324,-46.472375386428595,236,.648,.285,.363,.208,27,7
cabrm001,66.00403302370658,-80.90881169951165,433,.622,.305,.317,.254,43,5
grosr001,76.23626675536198,-80.46185423367186,477,.621,.310,.311,.209,45,7
schoj001,67.58297377619928,-106.30444864857692,510,.561,.239,.322,.202,38,11
mazan001,27.329589320631147,-31.22181947120671,171,.668,.316,.352,.264,18,2
slata001,67.51233762246723,-65.60735609021725,325,.774,.366,.408,.264,34,7
florw001,109.20479547055773,-103.26711949966443,602,.710,.316,.394,.229,71,19
ruf-d001,72.80071723362644,-73.0497506094756,388,.645,.307,.338,.204,45,11
longe001,60.158021322166924,-60.215090276699414,298,.766,.315,.451,.244,42,14
wadel001,42.684193758306385,-49.015477743968354,251,.664,.305,.359,.207,26,8
mercy001,14.067548119677403,-18.007679066235823,83,.667,.325,.342,.233,8,1
villd001,33.651300004479964,-37.71541026877365,181,.786,.331,.455,.231,24,9
waltd002,12.010953560934581,-16.4487091056928,78,.482,.179,.303,.158,8,1
wynna001,29.36640175672877,-38.029586781269956,177,.671,.313,.358,.259,21,3
yastm001,91.70477169779087,-106.6961044721088,558,.697,.305,.392,.214,57,17
pedej001,98.66949023192754,-75.59306617378576,433,.874,.353,.521,.274,70,23
beltb001,44.54595672814176,-62.71665411653846,298,.676,.326,.350,.213,23,8
crawb001,78.402838281839,-96.91576240499283,458,.652,.308,.344,.231,52,9
lastt001,28.593766975567338,-40.03315023038817,195,.632,.282,.350,.239,14,2
bartj003,46.15576391120554,-60.41319120988428,291,.660,.296,.364,.215,25,11
bryak001,31.580868547146988,-38.68776957300018,181,.851,.376,.475,.306,14,5
hampg001,32.42921275674262,-55.53613282481813,226,.594,.287,.307,.211,15,2
servb001,32.09890132380711,-53.33543120508282,205,.593,.261,.332,.203,16,6
monte001,38.17954425094979,-40.08502758383596,185,.702,.270,.432,.233,20,6
garcl006,63.98492558632812,-74.02187362743751,377,.703,.295,.408,.275,45,7
adrie001,12.4984659963415,-20.62833656718932,110,.470,.264,.206,.175,7,0
barrt004,6.848482567219607,-11.773923724559257,53,.412,.212,.200,.180,4,0
estrt001,106.81318362849639,-104.17621583425134,541,.722,.322,.400,.260,62,14
gonzl005,62.63500284629022,-63.4903254048908,350,.677,.320,.357,.251,36,4
marct001,26.645003372983968,-33.18325782707325,177,.562,.256,.306,.206,13,2
newmk001,52.97822419592695,-58.72222531949024,309,.688,.316,.372,.274,24,2
reynb001,115.99011990068706,-116.3476419389382,614,.806,.345,.461,.262,62,27
gameb001,78.332924994227,-75.21070188550812,423,.693,.324,.369,.232,46,9
chavm001,69.67902052379807,-89.5039366825742,426,.654,.265,.389,.229,49,14
madrb002,15.985084115049194,-25.38908062892202,123,.509,.244,.265,.177,7,1
cruzo001,79.17189013182625,-71.55517279987289,361,.744,.294,.450,.233,54,17
mitcc002,37.0606255104938,-45.83858706185472,232,.635,.286,.349,.226,17,5
delaj004,23.319127308204767,-30.49590556675913,167,.536,.265,.271,.213,11,1
alleg002,20.084108861706966,-29.867729951515532,134,.531,.260,.271,.186,8,2
hayek001,91.92627933314404,-112.38335661239256,560,.659,.314,.345,.244,41,7
vanmj001,26.918663258527065,-36.965896365242266,192,.558,.266,.292,.187,14,3
castr006,45.347281645256004,-53.9275067309912,278,.726,.299,.427,.233,27,11
godoj001,1.0915306647293268,-6.765715227067103,22,.186,.136,.050,.050,1,0
carld002,84.07989428938832,-95.43875727621165,488,.696,.316,.380,.236,42,8
oneit001,77.27940104984967,-81.32581993581152,383,.700,.308,.392,.228,58,14
goldp001,158.06019840756437,-108.3979512085728,651,.982,.404,.578,.317,115,35
arenn001,140.9992987405329,-123.52797813983109,620,.891,.358,.533,.293,103,30
pujoa001,80.37045614993889,-71.15296264870186,351,.895,.345,.550,.270,68,24
edmat001,119.56887438469026,-121.806862756124,630,.724,.324,.400,.265,57,13
dejop001,35.22344005653913,-49.12507921588159,237,.531,.245,.286,.157,25,6
moliy001,38.13551965005959,-56.90760082160631,270,.535,.233,.302,.214,24,5
garrs003,19.00522756465029,-17.035782966250736,84,.848,.309,.539,.276,10,4
nootl001,65.2026098057536,-61.83152151266531,347,.788,.340,.448,.228,40,14
kniza001,44.380505875539924,-61.86899466980721,293,.601,.301,.300,.215,25,4
gormn001,60.68804965004075,-66.48557531078717,313,.720,.300,.420,.226,35,14
donob001,90.71735409060538,-75.42986591443217,468,.773,.394,.379,.281,45,5
dickc002,53.23318319634943,-58.83308669691772,297,.699,.300,.399,.267,36,6
schwk001,140.22603821379062,-124.6539238623047,669,.827,.323,.504,.218,94,46
hoskr001,129.1488987237585,-118.84733374070014,672,.794,.332,.462,.246,79,30
bohma001,109.67011098789321,-116.90431750398629,631,.713,.315,.398,.280,72,13
harpb003,96.75022612041822,-77.3642987249693,426,.878,.364,.514,.286,65,18
realj001,115.11771372235255,-107.03492519153528,562,.820,.342,.478,.276,84,22
seguj002,63.47621187474435,-74.995283635604,387,.723,.336,.387,.277,33,10
stotb001,76.26545266667657,-96.28136332390515,466,.653,.295,.358,.234,49,10
vierm001,56.914294476424125,-73.02294155580303,357,.648,.297,.351,.246,32,6
carrc005,24.788630035086676,-23.75805117308935,115,.830,.330,.500,.260,14,4
stubg001,27.496215665291704,-20.508681418407086,121,.812,.350,.462,.264,16,5
maton001,20.303370941377306,-16.515880055059146,85,.855,.341,.514,.250,17,5
sosae001,36.43426846161793,-39.3165980143658,190,.644,.275,.369,.227,21,2
yelic001,121.79732038613403,-111.35086023526121,671,.738,.355,.383,.252,57,14
adamw002,130.46873171078914,-123.6741045059627,617,.756,.298,.458,.238,98,31
tellr001,113.10843631836474,-108.48731922778906,599,.767,.306,.461,.219,89,35
renfh001,95.77080129155516,-101.1843232921363,522,.807,.315,.492,.255,72,29
wongk001,94.33265278619199,-87.15929868889077,497,.769,.339,.430,.251,47,15
hiurk001,49.178051596405254,-49.49400039685372,266,.765,.316,.449,.226,32,14
petej002,60.72150206108907,-65.86391855983852,328,.698,.316,.382,.236,34,8
carav001,53.73848427419168,-58.66281155543322,314,.642,.300,.342,.199,34,9
mitcg001,16.09730752672913,-13.030357125951701,68,.832,.373,.459,.311,9,2
taylt002,71.09751373953564,-82.49533476957649,405,.728,.286,.442,.233,51,17
urial001,82.09499869372488,-88.30055884826463,472,.739,.335,.404,.239,47,16
ruize001,4.208624767310311,-9.425482464526603,36,.451,.194,.257,.171,2,0
mccua001,104.51235077533347,-108.47149221797707,580,.700,.316,.384,.237,69,17
narvo001,40.85741379862518,-56.82510127302524,296,.597,.292,.305,.206,23,4
difow001,0,-1.1761920372748802,6,.000,.000,.000,.000,0,0
gallj002,67.69857321361638,-84.07004984514785,410,.637,.280,.357,.160,47,19
vargm001,8.09411846238751,-11.570957768713624,50,.455,.200,.255,.170,8,1
libel001,0,-1.477902520634073,5,.000,.000,.000,.000,0,0
campl002,6.917276439246873,-10.188036830283384,50,.593,.260,.333,.250,5,1
voslj001,23.899472760932415,-21.251746885433114,111,.811,.342,.469,.265,12,4
procf001,3.5983896598314544,-5.193481206974527,22,.460,.182,.278,.111,6,1
aquia001,45.32375209538358,-60.814320141125904,276,.609,.246,.363,.197,30,10
rosae001,41.02330002760224,-49.315545886973844,270,.587,.259,.328,.212,24,5
stept001,46.377501534793204,-38.10448823312222,183,.854,.372,.482,.319,35,6
dicka001,3.8676051395328814,-7.676070171542914,36,.406,.194,.212,.121,2,1
naqut001,64.4325147337715,-69.88188414531015,334,.705,.282,.423,.229,46,11
arcio002,39.492204854980784,-45.47630690369251,234,.732,.316,.416,.244,30,9
fralj001,49.406225868425466,-42.67087125889137,247,.812,.344,.468,.259,28,12
morac001,24.3320324525717,-31.895860731838624,128,.681,.305,.376,.211,23,5
pinam001,2.418983094201247,-2.8708102340609805,17,.378,.235,.143,.143,2,0
fox-l001,2.3251869116813486,-6.393942947611317,28,.195,.115,.080,.080,2,0
demet001,12.792285209223483,-17.64643308298231,96,.597,.260,.337,.213,6,3
hermm001,9.588565045397038,-14.361282277229481,73,.398,.250,.148,.115,4,0
madrn001,26.794326311576803,-42.30438211319778,228,.587,.305,.282,.249,7,0
hoern001,98.84301030919899,-94.22475157957527,517,.737,.327,.410,.281,55,10
cainl001,19.224791772352127,-30.81922361584247,156,.465,.231,.234,.179,9,1
brosm001,30.44071089872582,-28.113601364150206,160,.762,.344,.418,.255,23,6
castn001,94.73832007388233,-109.58635649991534,558,.694,.305,.389,.263,62,13
camaj001,26.315924957805425,-31.257735723890814,166,.613,.297,.316,.237,15,3
quinr003,16.95071779951185,-15.274533682383625,87,.591,.287,.304,.215,7,0
herro001,35.7583474789338,-35.34200307409607,197,.657,.279,.378,.238,21,5
astuw001,6.207550262173386,-14.541265406444339,55,.551,.255,.296,.241,4,1
fortn001,40.04469875422324,-51.625187047377864,240,.696,.304,.392,.230,24,9
voged001,91.04447946957835,-85.93827005051804,461,.793,.360,.433,.238,59,18
castd004,46.47246877536279,-52.59566062132808,283,.633,.251,.382,.206,29,11
suwij001,66.19620850860025,-73.46495475710807,372,.709,.298,.411,.202,38,19
chany001,29.255992962883397,-38.68224541375079,190,.604,.289,.315,.208,15,4
heint001,21.346831785045556,-34.164403899220076,174,.544,.276,.268,.217,9,0
swagt001,0.4131113256113256,-2.270958911136593,9,.222,.111,.111,.111,0,0
perem005,19.477122440976245,-28.01735428317001,132,.512,.214,.298,.149,14,6
alvae001,3.6955745672290297,-6.957825540090654,27,.314,.154,.160,.160,3,0
yepej001,44.726629671549475,-55.83180136070587,274,.743,.296,.447,.253,30,12
halld003,24.34272518413024,-28.34689728064123,142,.804,.282,.522,.250,16,9
gregd001,35.975545054336244,-45.39283117426971,232,.567,.263,.304,.210,19,1
munoy001,10.473342583524351,-11.769732756457886,60,.654,.250,.404,.211,7,3
grisv001,27.458356398971862,-27.724190794433987,156,.793,.353,.440,.291,18,5
marrd001,0.255877034358047,-1.1592493513511077,6,.000,.000,.000,.000,0,0
batyb001,7.066203547897996,-8.830218855744338,42,.586,.244,.342,.184,5,2
toglm001,23.374232232376887,-24.685348779913678,120,.653,.275,.378,.216,12,2
boucs001,21.909316791038155,-16.742587419195903,97,.954,.454,.500,.297,11,3
bledj001,31.87863989967248,-45.90895480776462,238,.586,.277,.309,.167,16,5
leblc001,26.877599871248115,-25.717335744142407,169,.724,.320,.404,.263,11,4
diazl001,19.385219713391983,-31.7444991396943,174,.512,.224,.288,.169,11,5
encaj002,14.422237450068057,-18.657109062978574,81,.548,.210,.338,.182,14,3
burdp001,15.11507845553881,-18.320547209402765,102,.664,.284,.380,.207,11,4
willl001,22.533780667646298,-32.47701770383116,136,.602,.287,.315,.236,6,1
guthd001,6.259410736141352,-3.076186668214342,28,.976,.500,.476,.333,5,1
calla002,21.50615961791684,-22.54239440939914,131,.748,.336,.412,.237,13,5
menej001,48.61374902547991,-48.61908392765044,240,.930,.367,.563,.324,34,13
palaj001,5.150356754399063,-11.23199104496619,49,.500,.245,.255,.213,2,0
alvaf001,1.916963179719545,-4.553426713276158,14,.786,.286,.500,.167,1,1
vienm001,4.237097222268704,-8.593261757622512,41,.546,.268,.278,.167,3,1
mcker001,26.374248524283296,-31.770506253233048,172,.634,.294,.340,.237,11,2
gonzm002,31.824787506078312,-49.46019250887507,207,.576,.255,.321,.185,18,6
locat001,10.608143913060687,-9.211077501255739,46,.588,.239,.349,.186,4,2
nevit001,24.46814713956401,-34.96550366975053,184,.560,.299,.261,.197,16,2
davij008,4.1843785467566414,-5.101486016212008,27,.782,.407,.375,.333,2,0
olive001,30.704009875792195,-29.025507929598188,174,.743,.333,.410,.286,15,4
bannr001,1.0569723562611277,-2.942793677705356,15,.343,.200,.143,.143,0,0
parei001,65.75226958605175,-71.43896541170899,381,.739,.304,.435,.205,45,20
rutsa001,84.33914222554655,-74.77702346129595,470,.807,.362,.445,.254,42,13
gonzo001,66.85254926372362,-69.40792637229279,382,.788,.327,.461,.296,43,11
kwans001,117.45400086503992,-110.35512875304345,638,.773,.373,.400,.298,52,6
morec001,78.21352411106216,-83.78087287452459,425,.741,.308,.433,.235,47,16
frazc001,7.606879315480588,-9.298261290904156,45,.653,.356,.297,.216,1,0
higgp001,45.73033110092818,-43.985680666149456,229,.693,.310,.383,.229,30,6
pintr003,13.810748470093994,-20.501569745709578,83,.566,.241,.325,.213,10,2
martr006,6.69118098170699,-6.176322631076785,33,.542,.242,.300,.167,3,0
carpm002,41.88864705506616,-29.01373234569911,154,1.139,.412,.727,.305,37,15
ralel001,7.654376269319508,-12.941134290431542,72,.585,.306,.279,.197,4,1
lowej002,33.03451558548556,-34.93082001649867,198,.627,.284,.343,.221,13,2
vavrt001,17.747774604115236,-17.80719631303611,103,.677,.340,.337,.258,12,1
velan001,37.040112119917666,-41.887250182747074,206,.659,.286,.373,.205,26,6
refsr001,38.12481092289174,-33.33673687739815,177,.881,.384,.497,.307,21,6
stowk001,15.757169727522676,-19.15872160634338,98,.724,.306,.418,.253,11,3
duraj001,36.151213514245406,-45.629597671764586,223,.646,.283,.363,.221,17,3
jimee001,72.61276994068757,-57.18552219750405,327,.858,.358,.500,.295,54,16
gonzr003,19.53984879360124,-22.619720725770488,109,.609,.257,.352,.238,11,2
engea001,42.59864496206307,-52.97001482204901,260,.579,.269,.310,.224,17,2
stevc001,6.116632880853638,-15.05197833581193,71,.478,.261,.217,.167,1,0
hendg002,26.72985566956546,-21.88510271821054,132,.788,.348,.440,.259,18,4
thomc003,3.437744425394468,-4.908068965453937,32,.580,.313,.267,.267,0,0
casat001,20.48678297499172,-16.928720583245426,95,.766,.358,.408,.197,12,5
wongc001,11.407791846296641,-10.03629742328423,56,.586,.273,.313,.188,7,1
almoa001,7.0800578767843545,-8.351414907109348,37,.697,.297,.400,.257,2,1
moreg001,11.09937770593717,-12.065974661636634,73,.733,.356,.377,.319,7,1
lopeo001,3.302985762585278,-1.0693124244233212,10,1.367,.700,.667,.667,3,0
sanom001,5.8737320787369365,-14.620595444551176,71,.344,.211,.133,.083,3,1
garlk001,27.829733522556108,-32.58712437537337,162,.717,.284,.433,.233,18,9
shawt001,0,-5.556805861427502,19,.000,.000,.000,.000,0,0
collz001,14.322344328786494,-22.189673327969192,108,.551,.231,.320,.155,11,4
katog001,0.9292541978490322,-1.892413199467243,11,.686,.400,.286,.143,0,0
grany001,53.43774750641468,-76.37924863994797,376,.570,.301,.269,.202,27,5
burgj001,36.53865794711443,-41.514780029273325,183,.760,.302,.458,.250,26,8
mendd002,20.646746468072926,-20.662261383743747,106,.786,.343,.443,.289,15,3
souzs001,1.6971961967080742,-7.38553219886362,19,.316,.158,.158,.158,1,0
lopea005,26.89279597185127,-28.690220311846982,156,.645,.314,.331,.262,10,1
badeh001,55.540037790673864,-62.67159208433677,313,.650,.294,.356,.250,30,5
herri001,1.6844570293300993,-5.059877022166996,22,.301,.190,.111,.111,1,0
downj001,4.6965204180642655,-8.379033907567287,41,.427,.171,.256,.154,4,1
sancc001,3.1830509764481425,-9.44307074605358,44,.322,.214,.108,.108,2,0
jonen002,19.98991376670275,-18.319662542829768,94,.681,.309,.372,.244,13,2
sevep001,3.0357486580821815,-3.9152239288784454,21,.666,.333,.333,.222,1,0
andum001,21.09011063065888,-26.143553366976324,140,.568,.257,.311,.235,17,1
pasqv001,56.99234973973093,-51.38805321299716,298,.833,.383,.450,.295,26,10
massm001,32.63388684178172,-36.020254590396874,194,.683,.307,.376,.243,17,4
eaton001,25.747266026635316,-20.7146830560365,122,.718,.331,.387,.264,12,1
wated001,24.588115747972058,-19.565345848192962,109,.803,.324,.479,.240,18,5
rives002,2.537903927539708,-6.446797511555759,29,.368,.214,.154,.154,1,0
aranj001,13.735580897292383,-15.928401247111749,87,.597,.276,.321,.192,6,2
kelej001,23.80304324854473,-36.68492135978383,181,.534,.221,.313,.141,17,7
murpt002,7.665138626399506,-6.116155268124922,42,.894,.439,.455,.303,1,1
mondr003,5.421931182999536,-15.972692564781996,54,.344,.204,.140,.140,3,0
simma001,9.798854056857953,-22.527771192825746,85,.431,.244,.187,.173,7,0
walks001,1.3437329930199087,-2.2296810184101723,16,.474,.188,.286,.071,1,1
reksz001,5.522599973487914,-7.413157547305738,34,.559,.265,.294,.265,3,0
hasea001,3.9246067148527293,-3.090677795819216,25,.571,.333,.238,.238,2,0
pratn001,28.554267247287992,-33.93686948595453,182,.657,.271,.386,.184,20,7
garcm003,3.6700985078184374,-5.935847965104387,23,.712,.348,.364,.318,2,0
perec005,2.9467940453285277,-4.768705395108247,18,.555,.222,.333,.222,2,0
rookb001,2.8969071660970287,-8.739072987838123,36,.378,.222,.156,.125,2,0
palaj002,7.4620472947695315,-14.841856124771992,77,.413,.184,.229,.143,6,2
paytm001,3.2278829766638624,-4.26303675197695,25,.423,.280,.143,.143,1,0
hamic001,2.7264373091877507,-3.5599510131936287,23,.449,.227,.222,.056,1,1
treja001,26.280964570065414,-32.000524262770625,125,.736,.312,.424,.271,17,4
freet001,12.385014695011371,-16.261115270319337,86,.600,.314,.286,.247,3,0
brenw002,13.474807118678545,-7.055979021388149,45,.900,.400,.500,.357,8,1
wallm001,12.570935459337901,-12.190648801171545,65,.709,.323,.386,.228,10,2
contm001,7.068894771287208,-16.155579976802493,61,.441,.148,.293,.121,6,3
hamib001,8.27573865199711,-6.1367682111178885,23,.186,.136,.050,.050,0,0
tsuty001,25.293537239785973,-45.87633905124008,193,.478,.249,.229,.171,19,2
tuckc001,4.475669393791253,-15.332580141728007,63,.397,.175,.222,.175,2,0
perer003,13.115780143553199,-12.503608942528997,69,.700,.333,.367,.233,8,2
parkh001,9.189562912188794,-9.869439205895622,60,.649,.276,.373,.216,6,2
alfoa002,0.08726190476190476,-0.5598819420964354,4,.500,.250,.250,.250,0,0
marij002,14.97684840021237,-17.761923620828437,82,.662,.272,.390,.234,6,2
knapa001,5.429945135015883,-8.875291515039464,46,.393,.239,.154,.128,4,0
solad001,51.49745977589611,-59.54399976118016,304,.724,.339,.385,.284,24,4
schrm001,2.2537392207164175,-6.546514027943122,27,.339,.185,.154,.154,1,0
boted002,22.69456000822364,-26.138327376519275,127,.746,.315,.431,.259,12,4
papim001,10.70302908388817,-21.057360972159913,103,.415,.228,.187,.143,4,1
croon001,1.1630464480874316,-2.272824866973667,9,.597,.222,.375,.250,2,0
davij007,13.772938995254743,-21.237167801109727,91,.581,.344,.237,.224,4,0
stees001,14.860103870872033,-23.35997335059802,108,.632,.306,.326,.211,8,2
fairs001,17.08445145479138,-22.13277898635612,110,.800,.336,.464,.247,6,5
garcj007,21.59051870269251,-42.423301384302235,174,.401,.195,.206,.152,10,2
robic003,5.53705489428584,-16.39749975665091,60,.407,.136,.271,.136,5,2
brinl001,6.5072151822690465,-7.621081149287047,39,.683,.211,.472,.167,4,3
deana001,1.1440428588343705,-0.8989904282819814,9,.819,.444,.375,.375,0,0
younj003,2.5392744392710043,-4.707235991238989,22,.732,.364,.368,.263,0,0
quire001,10.374394058262228,-7.35557841152419,47,.645,.370,.275,.275,3,0
sianm001,1.290081895594982,-7.788839284195197,24,.334,.167,.167,.167,0,0
riddj001,1.277855477855478,-0.7620518304824508,4,.500,.250,.250,.250,0,0
kolom001,3.478733588777265,-5.887065096870369,21,.688,.238,.450,.200,3,1
lavab001,1.3509932070941228,-3.0690443744955855,15,.350,.267,.083,.083,0,0
ariag002,9.405442025057436,-9.052573750587127,57,.640,.321,.319,.191,5,1
hilld002,8.943746884214557,-16.728485249362983,92,.559,.270,.289,.229,3,1
camed001,13.294934187753924,-11.243625390923663,70,.630,.286,.344,.219,8,1
bensw001,5.790411992465943,-10.913399263040072,61,.450,.250,.200,.182,3,0
mastm001,3.287168251332822,-2.468682675788889,17,.423,.235,.188,.188,0,0
naylb001,0,-1.5176656356192126,8,.000,.000,.000,.000,0,0
outmj002,4.411784467387361,-2.4552885866387495,16,1.409,.563,.846,.462,3,1
bernw001,7.660499596433063,-12.456168824142223,42,.596,.286,.310,.286,3,0
tovae001,3.557577211793902,-8.96953732331056,35,.590,.257,.333,.212,2,1
meada001,22.011221956981732,-25.448851809750934,147,.675,.347,.328,.250,11,0
garnd001,2.1697707783368267,-1.7779273321028544,11,.764,.364,.400,.300,1,0
battm001,2.107293753392669,-5.033603192273154,22,.385,.227,.158,.105,1,0
shorz001,2.025336092330465,-2.549922995453978,13,.154,.154,.000,.000,2,0
davib006,1.1603380384325492,-1.5028232224529654,11,.473,.273,.200,.200,0,0
lewik001,7.828783023745168,-11.463082102781513,62,.530,.226,.304,.143,5,3
larsj001,0,-0.12419006479481641,1,.000,.000,.000,.000,0,0
jonet005,0,-0.12419006479481641,1,.000,.000,.000,.000,0,0
woltt001,0,-1.0516518715770509,4,.000,.000,.000,.000,0,0
rosae002,1.1786925925277238,-1.1139247445189375,6,.533,.333,.200,.200,0,0
andet002,0,-0.2172043010752688,1,.000,.000,.000,.000,0,0
reyep001,1.6189479273042526,-3.025691240181643,16,.580,.313,.267,.267,0,0
johnb005,1.9495629462203565,-4.576065720878878,19,.269,.158,.111,.111,2,0
burla001,7.197775819625072,-11.071972056708397,53,.535,.264,.271,.188,3,1
delub001,1.9464451905026183,-4.064920728942163,25,.492,.292,.200,.150,0,0
muzzs001,0.6302927311235615,-2.3704029720272826,9,.393,.250,.143,.143,0,0
dunaj001,2.6428112807536137,-2.5973450966611584,11,1.064,.364,.700,.300,1,1
tromc001,3.0027293616732518,-0.2610619469026549,4,2.000,.750,1.250,.750,3,0
goret001,3.441507223971068,-1.7354968022571453,8,.286,.143,.143,.143,0,0
grosj001,7.191171137378283,-11.064541760020537,65,.619,.308,.311,.262,2,1
jacka002,0.7245764833825792,-2.2974458495241477,12,.500,.250,.250,.250,0,0
dawsr001,0,-0.4565508021390374,3,.000,.000,.000,.000,0,0
felim002,0.3185331448962584,-0.5719355882362824,5,.650,.400,.250,.250,0,0
perao002,9.447957332934495,-11.955822010699734,57,.833,.404,.429,.306,2,1
lewir003,9.217039352830811,-6.877603039536224,41,.867,.317,.550,.300,5,2
mckib001,3.351691009661709,-10.81170105182426,57,.331,.158,.173,.096,4,1
hickb003,0,-0.6280834029316479,4,.000,.000,.000,.000,0,0
flore001,4.409606459743737,-8.167328347486128,35,.297,.200,.097,.097,1,0
caprv001,0.76729290137039,-2.0595378831288222,7,.629,.429,.200,.200,0,0
branr002,0.12532841410922912,-0.4219949167632552,3,1.000,.333,.667,.333,0,0
guzmr001,0,-2.7486358998421268,6,.000,.000,.000,.000,0,0
incie001,0.08131345467849631,-2.0482999440060246,8,.250,.125,.125,.125,0,0
blant002,0,-0.5635455266536955,3,.000,.000,.000,.000,0,0
pinei001,0.4345877057140421,-4.055264246755392,14,.220,.143,.077,.077,0,0
lopec001,0.1082479726845924,-3.2826869068769278,10,.100,.100,.000,.000,0,0
mcdom002,0.9485427233503348,-0.631935116603344,6,.333,.333,.000,.000,0,0
calhw001,7.6264193371268165,-14.177867099245619,62,.524,.274,.250,.135,3,1
allea001,0.7915454290213815,-3.0805974773846896,16,.259,.188,.071,.071,0,0
mondn001,0.1082479726845924,-0.4475737615663886,3,.333,.333,.000,.000,0,0
ramoh002,2.3500342939729917,-4.541703016953364,22,.282,.182,.100,.100,0,0
sandd004,0.35327425103554577,-1.4839744916459585,4,.250,.250,.000,.000,0,0
pegul001,0.7156112426838799,-0.32755040788682854,4,.833,.500,.333,.333,0,0
robed002,0,-0.2234762979683973,1,.000,.000,.000,.000,0,0
bae-j001,8.581770756590275,-5.040749056496083,37,.829,.405,.424,.333,6,0
sanmr001,0,-0.40973795793299383,2,.000,.000,.000,.000,0,0
wilsm003,0.5707495950490138,-0.8372752238089447,6,.533,.333,.200,.200,0,0
dixob001,1.4453652980419809,-3.7035675969147963,14,.500,.214,.286,.214,1,0
okeeb001,0.34601298274860454,-0.5021948980715079,4,.833,.500,.333,.333,0,0
krizj001,0.5417550776445236,-2.7086711253589106,10,.425,.300,.125,.125,0,0
tom-k001,0,-0.4216835637480799,1,.000,.000,.000,.000,0,0
machd001,1.5028473509576226,-4.9392329323794435,17,.494,.294,.200,.200,0,0
robek003,0.012036474164133892,0,1,.000,.000,.000,.000,1,0
smitc008,0.9648460388664981,-0.9365993109582855,7,.829,.429,.400,.200,0,0
stewd002,0,-0.7000399810006095,3,.000,.000,.000,.000,0,0
diazy003,0,-0.35243380207943753,1,.000,.000,.000,.000,0,0
jackd004,0,-0.739051178877853,3,.000,.000,.000,.000,0,0
mottt001,0.24555903866248707,-1.6769350890904355,6,.334,.167,.167,.167,0,0
fermf002,0,-1.786839685156556,7,.000,.000,.000,.000,0,0
alvaj004,0,-0.311137378513265,1,.000,.000,.000,.000,0,0
