Batter,REA,RES,PA,OPS,OBP,SLG,AVG,RBI,HR
franw002,62.69487440495268,-60.102149585354304,344,.745,.328,.417,.277,33,6
diazy001,107.5777466524225,-85.20170057214902,558,.824,.401,.423,.296,57,9
choij001,71.92764071948545,-75.11706633582425,419,.729,.341,.388,.233,52,11
margm001,62.831868714534714,-64.58478809282764,363,.700,.325,.375,.274,47,4
kierk001,38.023301021737495,-39.631195478732586,221,.650,.281,.369,.228,22,7
arozr001,141.78267515601965,-129.93092901107775,645,.772,.327,.445,.263,89,20
philb002,28.754499884223062,-40.34347707593453,225,.466,.217,.249,.144,15,5
zunim001,17.107295993795415,-23.818844650964284,123,.499,.195,.304,.148,16,5
wallc001,5.056893139448482,-7.790632927616642,40,.488,.231,.257,.143,4,1
ramih004,85.36867053559556,-73.76840171146586,435,.747,.343,.404,.300,58,6
wallt003,61.85031503451014,-92.12869334480546,466,.553,.268,.285,.172,33,8
mejif001,48.73193027529926,-55.673142490148976,299,.645,.264,.381,.242,31,6
whita002,0,-2.494844625185795,11,.000,.000,.000,.000,0,0
brujv001,25.470614946669812,-30.376242619833363,162,.487,.228,.259,.163,16,3
romia002,14.289111304479736,-33.489029935031425,136,.435,.187,.248,.155,9,3
kempt001,94.01581756499714,-92.81372398249569,558,.641,.307,.334,.235,46,7
neuss001,48.3504622665442,-49.83762938414326,293,.561,.273,.288,.214,26,4
lowrj001,23.170626163063336,-37.62280510730413,184,.508,.245,.263,.180,16,3
brows003,106.83644223007352,-98.59559881848288,555,.749,.305,.444,.230,73,25
laurr001,66.58061569180366,-74.43534511909085,383,.663,.287,.376,.211,34,13
murps001,107.56870214904826,-107.21586400728297,612,.758,.332,.426,.250,66,18
barrl001,12.072156962874873,-17.20763288951059,85,.632,.294,.338,.234,7,1
andre001,104.2285742608454,-105.50681595139456,577,.707,.303,.404,.249,58,17
smitk003,22.279362034919135,-31.92249643870135,151,.518,.216,.302,.180,13,2
pachc001,28.776286639858654,-50.3399197726787,260,.459,.218,.241,.166,18,3
allen002,41.420859322337705,-60.0707185904336,326,.547,.256,.291,.207,19,4
pindc001,62.76678584242455,-75.74047246320643,379,.648,.263,.385,.235,42,12
bethc001,53.105372794017214,-58.59787377853381,333,.692,.283,.409,.252,34,11
semim001,140.6597043916273,-125.38137053906041,724,.733,.304,.429,.248,83,26
seagc001,112.68630444696852,-119.59376433597946,663,.772,.317,.455,.245,83,33
garvm001,35.7473486313297,-36.68215757230964,215,.702,.298,.404,.207,24,10
calhk001,64.30883272287791,-79.51289623232275,424,.587,.257,.330,.196,49,12
garca005,140.39102018340606,-125.23114036889434,657,.756,.300,.456,.250,101,27
heimj001,72.68823718588247,-89.21660921463753,450,.697,.298,.399,.227,48,16
lowen001,123.39339914977302,-109.23959117227265,645,.850,.358,.492,.302,76,27
ibana001,20.546306878211826,-20.914250548061595,128,.550,.273,.277,.218,9,1
